19:36:51 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 1 error- 27686.807390361788
19:36:52 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 2 error- 11533.587478361527
19:36:52 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 3 error- 9499.218305472768
19:36:52 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 4 error- 8109.479855371308
19:36:53 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 5 error- 7066.370328137778
19:36:53 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 6 error- 6244.822036305788
19:36:54 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 7 error- 5581.916027963444
19:36:54 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 8 error- 5040.296968224151
19:36:55 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 9 error- 4594.2467603715195
19:36:55 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 10 error- 4224.271184945409
19:36:55 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 11 error- 3914.9640441075417
19:36:56 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 12 error- 3654.053444028995
19:36:56 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 13 error- 3431.8208656481165
19:36:57 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 14 error- 3240.6295655727517
19:36:57 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 15 error- 3074.5069285098384
19:36:58 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 16 error- 2928.783979702686
19:36:58 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 17 error- 2799.7991180958356
19:36:58 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 18 error- 2684.66449483809
19:36:59 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 19 error- 2581.086733183183
19:36:59 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 20 error- 2487.2312346253016
19:37:00 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 21 error- 2401.619810350267
19:37:00 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 22 error- 2323.053159710614
19:37:01 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 23 error- 2250.5517192477705
19:37:01 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 24 error- 2183.310136167043
19:37:01 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 25 error- 2120.66194530216
19:37:02 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 26 error- 2062.051980970854
19:37:02 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 27 error- 2007.0147199651356
19:37:03 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 28 error- 1955.1572140715828
19:37:03 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 29 error- 1906.145596245436
19:37:04 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 30 error- 1859.6943798756413
19:37:04 [main] INFO  com.misha.mrz1.network.LinearRecirculationNetwork - iteration- 31 error- 1815.5579453547216
